x,y,z,freq
0.00317383,0.850342,-0.128662,0.454871
0.00317383,0.850342,-0.128662,7.02031
-0.0449219,0.864258,-0.126709,9.33176
-0.105469,0.908203,-0.11084,7.24047
-0.105469,0.908203,-0.11084,4.36385
-0.134033,0.968262,-0.0996094,5.50148
-0.134033,0.968262,-0.0996094,0.17435
-0.0917969,0.993164,-0.104004,1.7736
-0.0917969,0.993164,-0.104004,4.71021
0.0441895,1.03052,-0.0705566,1.85981
0.0441895,1.03052,-0.0705566,1.79743
0.106689,1.02222,-0.0644531,2.83901
0.0246582,1.01465,-0.0808105,3.05072
0.0246582,1.01465,-0.0808105,6.23476
-0.0490723,0.983398,-0.132568,7.07308
-0.0490723,0.983398,-0.132568,2.70175
-0.0275879,1.05933,-0.0883789,2.93576
-0.0275879,1.05933,-0.0883789,3.27325
0.0488281,1.05322,-0.0820312,2.9981
0.117188,1.06104,-0.0712891,3.78539
0.117188,1.06104,-0.0712891,6.44674
0.150879,1.00439,-0.102295,2.39864
0.150879,1.00439,-0.102295,2.20364
0.118408,0.944336,-0.072998,1.86638
0.118408,0.944336,-0.072998,0.648263
0.0473633,0.888672,-0.140625,6.47567
-0.0112305,0.882324,-0.123291,0.909488
-0.0112305,0.882324,-0.123291,2.05663
-0.046875,0.894287,-0.112793,0.0855571
-0.046875,0.894287,-0.112793,6.66594
-0.0935059,0.942383,-0.0947266,4.2145
-0.0935059,0.942383,-0.0947266,3.91734
-0.126953,0.999268,-0.097168,1.44169
-0.0847168,1.02979,-0.100586,4.22714
-0.0847168,1.02979,-0.100586,7.62457
0.0439453,1.05688,-0.0686035,2.47079
0.0439453,1.05688,-0.0686035,3.44132
-0.0505371,0.996582,-0.137695,6.33893
-0.0505371,0.996582,-0.137695,3.43369
-0.120361,0.999268,-0.112305,2.03702
-0.120361,0.999268,-0.112305,0.249324
-0.120605,1.03296,-0.143066,0.0864478
-0.120605,1.03296,-0.143066,1.20505
-0.0400391,1.073,-0.0959473,5.18244
0.0478516,1.05103,-0.0959473,3.65785
0.0478516,1.05103,-0.0959473,1.95585
0.135742,1.04932,-0.0820312,1.75002
0.135742,1.04932,-0.0820312,3.50186
0.166992,0.986328,-0.110596,3.77042
0.166992,0.986328,-0.110596,7.41025
0.114258,0.91626,-0.0952148,4.34284
0.114258,0.91626,-0.0952148,4.70696
0.010498,0.861572,-0.151855,1.46374
-0.0532227,0.853516,-0.13208,1.99548
-0.0532227,0.853516,-0.13208,3.60896
-0.0808105,0.874023,-0.13916,3.02519
-0.0808105,0.874023,-0.13916,7.35912
-0.108398,0.930664,-0.12085,3.513
-0.0795898,1.00659,-0.117188,4.18003
0.0515137,1.01855,-0.095459,0.464652
0.0991211,1.00098,-0.0827637,3.60666
0.0991211,1.00098,-0.0827637,6.52633
0.00805664,1.00366,-0.0979004,0.886314
0.00805664,1.00366,-0.0979004,5.04599
-0.0725098,0.974365,-0.153809,0.726504
-0.0725098,0.974365,-0.153809,1.8432
-0.136475,0.996582,-0.117188,3.29676
-0.129639,1.02441,-0.145264,2.59476
-0.129639,1.02441,-0.145264,2.9083
-0.0383301,1.07178,-0.105469,4.08786
-0.0383301,1.07178,-0.105469,5.06387
0.0566406,1.04248,-0.10083,3.06794
0.0566406,1.04248,-0.10083,1.6086
0.147949,1.03833,-0.0932617,2.19252
0.147949,1.03833,-0.0932617,2.68597
0.169189,0.96582,-0.121094,0.376982
0.120361,0.905029,-0.0925293,0.408956
0.120361,0.905029,-0.0925293,8.24413
0.0290527,0.858398,-0.157715,6.66273
0.0290527,0.858398,-0.157715,5.17515
-0.0869141,0.878418,-0.141113,5.69489
-0.118652,0.93457,-0.117188,6.24928
-0.118652,0.93457,-0.117188,2.88004
-0.116455,0.982422,-0.11792,5.20294
-0.0341797,0.995361,-0.115967,1.36734
-0.0341797,0.995361,-0.115967,2.08012
0.0895996,1.0127,-0.0966797,1.04992
0.0895996,1.0127,-0.0966797,2.02135
0.111816,1.00781,-0.0935059,0.708275
0.111816,1.00781,-0.0935059,5.67522
0.00488281,1.01367,-0.104248,1.1768
0.00488281,1.01367,-0.104248,1.8518
-0.0808105,0.991943,-0.147949,2.34782
-0.126465,1.01953,-0.107666,6.60788
-0.126465,1.01953,-0.107666,3.01128
-0.0964355,1.05127,-0.128662,3.3717
-0.0964355,1.05127,-0.128662,3.68788
-0.0107422,1.08472,-0.0888672,1.52497
-0.0107422,1.08472,-0.0888672,9.13855
0.0737305,1.05151,-0.098877,7.11337
0.164551,1.052,-0.0864258,2.40202
0.137451,0.933594,-0.0839844,1.20402
0.0227051,0.884521,-0.144775,0.475518
0.0227051,0.884521,-0.144775,1.24602
-0.052002,0.896729,-0.126953,1.88973
-0.052002,0.896729,-0.126953,2.06911
-0.0847168,0.918701,-0.135986,1.48015
-0.0847168,0.918701,-0.135986,0.486872
-0.102051,0.967285,-0.09375,4.71734
-0.10376,0.993896,-0.116211,3.48454
-0.10376,0.993896,-0.116211,3.36477
-0.0285645,1.01514,-0.108398,3.33231
-0.0285645,1.01514,-0.108398,0.224331
0.0910645,1.0332,-0.0817871,4.81019
0.0910645,1.0332,-0.0817871,7.43158
0.122559,1.02075,-0.0681152,5.72247
0.00976562,1.02686,-0.0859375,2.07595
0.00976562,1.02686,-0.0859375,6.20819
-0.102783,1,-0.141113,9.91776
-0.102783,1,-0.141113,0.144481
-0.158447,1.02686,-0.109619,1.1215
-0.158447,1.02686,-0.109619,1.09711
0.0759277,1.03833,-0.0908203,159.671
0.0759277,1.03833,-0.0908203,1.18958
0.175781,1.03394,-0.0759277,3.57601
0.175781,1.03394,-0.0759277,6.88258
0.168213,0.959961,-0.0996094,5.48515
0.104492,0.908936,-0.0874023,3.17505
0.104492,0.908936,-0.0874023,0.417371
-0.0129395,0.865479,-0.14624,0.42851
-0.0129395,0.865479,-0.14624,11.1822
-0.0803223,0.881592,-0.117676,9.48821
-0.0803223,0.881592,-0.117676,2.81567
-0.095459,0.893066,-0.120117,4.59177
